"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,8.55,NA,NA,NA,NA,NA,NA,269,NA,246,288,NA,46.8,NA,26.3,-7.42,32.4,16.25,11.68,108826,0,1.23,NA,NA,NA,NA,NA,NA,179,NA,165,208,NA,2.36,NA,1.54,1.99,-1.45,5.095,5.37,108826,0,1.15,NA,NA,NA,NA,NA,NA,87.2,NA,103.9,156,NA,2.01,NA,1.46,1.54,-1.64,-9.25,-5.95,108826,0,1.35,NA,NA,NA,NA,NA,NA,323,NA,313,293,NA,3.14,NA,1.62,2.65,-1.23,11.73,7.3,108826,0,1.38,NA,NA,NA,NA,NA,NA,1.21,NA,1.16,1.05,NA,1.08,NA,1.1,1.61,-1.02,0.9944,1.26,100,0,51.253,0,11.1,100,0.696,21.17,24.23,0,0,0,0,0,0,58.64,0,25.9,3.482
"2","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,7.17,NA,NA,NA,NA,NA,NA,168,NA,148,260,NA,43,NA,25.7,-9.72,NA,17.67,NA,150072,0,1.31,NA,NA,NA,NA,NA,NA,112,NA,101,190,NA,2.34,NA,1.52,2.14,NA,6.123,NA,150072,0,1.24,NA,NA,NA,NA,NA,NA,78.9,NA,86.7,184,NA,2.28,NA,1.41,1.57,NA,-8.38,NA,150072,0,1.35,NA,NA,NA,NA,NA,NA,197,NA,115,197,NA,2.39,NA,1.61,2.6,NA,9.51,NA,150072,0,1.5,NA,NA,NA,NA,NA,NA,1.1,NA,1.1,1.05,NA,1.01,NA,1.12,1.62,NA,0.7611,NA,100,0,2.439,0,78,100,0,4.88,0,0,0,0,0,0,0,63.41,0,14.6,2.439
"3","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,6.94,NA,NA,NA,NA,NA,NA,254,NA,NA,181,NA,38.9,NA,NA,-8.54,35.5,11.38,12.07,309946,0,1.42,NA,NA,NA,NA,NA,NA,171,NA,NA,133,NA,2.64,NA,NA,2.9,-1.93,-0.519,8.95,309946,0,1.34,NA,NA,NA,NA,NA,NA,120.5,NA,NA,120,NA,2.04,NA,NA,2,-2.03,-10.26,2.8,309946,0,1.5,NA,NA,NA,NA,NA,NA,261,NA,NA,148,NA,3.35,NA,NA,3.36,-1.85,9.41,15.06,309946,0,1.7,NA,NA,NA,NA,NA,NA,1.03,NA,NA,1.04,NA,1.12,NA,NA,1.57,-1.02,-0.0213,1.2,100,0,29.857,0,0,100,1.227,1.64,46.22,0,0,0,0,0,0,1.84,0,0,0.818
"6","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1,NA,27.6,-10.08,34.9,12.49,10.77,134931,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,NA,1.56,2.02,-1.84,-1.511,10.96,134931,0,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,1.27,1.09,-1.88,-11.37,4.64,134931,0,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,1.65,3.17,-1.8,10.81,15.8,134931,0,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,1.07,1.43,-1.01,-0.2216,1.26,100,0,13.033,0,19.7,96.7,2.607,18.01,52.61,0,0,0,0,0,0,0,0,0,0
"8","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","High Plains",288315,0,10.42,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,-6.82,NA,NA,NA,288315,0,1.22,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,2.74,NA,NA,NA,288315,0,1.22,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,NA,288315,0,1.23,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,288315,0,1.25,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,50,0,0,0
"9","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Idaho Batholith",60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Madrean Archipelago",74690,0,11.17,NA,NA,NA,NA,NA,NA,298,NA,284,NA,NA,44.2,NA,NA,-2.75,NA,21.99,15.41,74690,0,1.18,NA,NA,NA,NA,NA,NA,221,NA,207,NA,NA,2.55,NA,NA,1.71,NA,7.69,4.38,74690,0,1.15,NA,NA,NA,NA,NA,NA,124.5,NA,119.4,NA,NA,2.26,NA,NA,1.57,NA,7.39,3.96,74690,0,1.19,NA,NA,NA,NA,NA,NA,377,NA,318,NA,NA,2.87,NA,NA,1.97,NA,7.99,5.21,74690,0,1.45,NA,NA,NA,NA,NA,NA,1.28,NA,1.15,NA,NA,1.05,NA,NA,1.67,NA,1.0282,1.12,100,0,35.294,0,0,100,0,11.76,35.29,0,0,0,0,0,0,94.12,0,76.5,0
