"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Mountains",108826,0,7.73,NA,NA,NA,NA,NA,NA,286,NA,271,291,NA,47,NA,25.7,-8.09,33.2,15.01,11.17,108826,0,1.24,NA,NA,NA,NA,NA,NA,190,NA,183.5,212,NA,2.4,NA,1.54,2.07,-1.54,4.611,5.41,108826,0,1.151,NA,NA,NA,NA,NA,NA,95.3,NA,88.6,156,NA,2.07,NA,1.46,1.55,-1.66,-9.25,3.54,108826,0,1.35,NA,NA,NA,NA,NA,NA,336,NA,324,293,NA,3.44,NA,1.62,2.67,-1.41,10.83,7.54,108826,0,1.4,NA,NA,NA,NA,NA,NA,1.19,NA,1.16,1.05,NA,1.09,NA,1.11,1.65,-1.03,0.752,1.285,100,0,53.49,0,12.05,100,1.4799,20.296,23.68,0,0,0,0,0,0,49.05,0,18.2,5.497
"2","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Arizona/New Mexico Plateau",150072,0,6.65,NA,NA,NA,NA,NA,NA,168,NA,141,254,NA,42.4,NA,25.5,-10.72,NA,17.28,NA,150072,0,1.3,NA,NA,NA,NA,NA,NA,113,NA,95.2,185,NA,2.33,NA,1.5,2.07,NA,3.475,NA,150072,0,1.242,NA,NA,NA,NA,NA,NA,61.2,NA,50.1,153,NA,2.28,NA,1.37,1.52,NA,-8.38,NA,150072,0,1.35,NA,NA,NA,NA,NA,NA,202,NA,115,202,NA,2.39,NA,1.6,2.6,NA,9.51,NA,150072,0,1.49,NA,NA,NA,NA,NA,NA,1.13,NA,1.09,1.05,NA,1.01,NA,1.12,1.56,NA,0.433,NA,100,0,1.75,0,84.21,98.2,0,0,0,0,0,0,0,0,0,78.95,0,31.6,3.509
"3","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Blue Mountains",70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Canadian Rockies",104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104960,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Central Basin and Range",309946,0,6.78,NA,NA,NA,NA,NA,NA,281,NA,NA,272,NA,39.2,NA,24.2,-8.46,35.2,10.65,11.42,309946,0,1.41,NA,NA,NA,NA,NA,NA,209,NA,NA,209,NA,2.71,NA,1.37,2.91,-1.94,-3.839,8.24,309946,0,1.255,NA,NA,NA,NA,NA,NA,110.8,NA,NA,111,NA,2.24,NA,1.33,2.14,-2.03,-10.26,2.79,309946,0,1.49,NA,NA,NA,NA,NA,NA,371,NA,NA,371,NA,3.47,NA,1.43,3.46,-1.9,4.07,14.98,309946,0,1.7,NA,NA,NA,NA,NA,NA,1.25,NA,NA,1.29,NA,1.11,NA,1.02,1.57,-1.03,-0.43,1.261,100,0,36.58,0,1.47,100,1.1799,0.885,49.85,0,0,0,0,0,0,10.91,0,0,9.145
"7","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Central California Valley",46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Chihuahuan Desert",509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Colorado Plateaus",134931,0,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,NA,27.5,-10.3,34.8,13.53,11.59,134931,0,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,1.57,1.89,-1.84,0.871,10.7,134931,0,1.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,NA,1.28,1.08,-1.88,-11.28,4.64,134931,0,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,1.68,3.17,-1.8,11.46,15.53,134931,0,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,1.09,1.37,-1.01,0.125,1.244,100,0,6.56,0,37.77,96.2,1.9881,28.231,49.5,0,0,0,0,0,0,0,0,0,0
"10","Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland","Columbia Mountains/Northern Rockies",179304,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,-4.48,NA,NA,NA,179304,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2.84,NA,NA,NA,179304,0,1.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2.84,NA,NA,NA,179304,0,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2.84,NA,NA,NA,179304,0,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,1.7,NA,NA,NA,100,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0
