"","type","NAME","SQKM.x","Field.x","bio1_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","SQKM.y","Field.y","bio1mean_delta","bio10mean_delta","bio11mean_delta","bio12mean_delta","bio13mean_delta","bio14mean_delta","bio15mean_delta","bio16mean_delta","bio17mean_delta","bio18mean_delta","bio19mean_delta","bio2mean_delta","bio3mean_delta","bio4mean_delta","bio5mean_delta","bio6mean_delta","bio7mean_delta","bio8mean_delta","bio9mean_delta","SQKM.x.1","Field.x.1","bio1min_delta","bio10min_delta","bio11min_delta","bio12min_delta","bio13min_delta","bio14min_delta","bio15min_delta","bio16min_delta","bio17min_delta","bio18min_delta","bio19min_delta","bio2min_delta","bio3min_delta","bio4min_delta","bio5min_delta","bio6min_delta","bio7min_delta","bio8min_delta","bio9min_delta","SQKM.y.1","Field.y.1","bio1max_delta","bio10max_delta","bio11max_delta","bio12max_delta","bio13max_delta","bio14max_delta","bio15max_delta","bio16max_delta","bio17max_delta","bio18max_delta","bio19max_delta","bio2max_delta","bio3max_delta","bio4max_delta","bio5max_delta","bio6max_delta","bio7max_delta","bio8max_delta","bio9max_delta","SQKM","Field","bio1mean_zscore","bio10mean_zscore","bio11mean_zscore","bio12mean_zscore","bio13mean_zscore","bio14mean_zscore","bio15mean_zscore","bio16mean_zscore","bio17mean_zscore","bio18mean_zscore","bio19mean_zscore","bio2mean_zscore","bio3mean_zscore","bio4mean_zscore","bio5mean_zscore","bio6mean_zscore","bio7mean_zscore","bio8mean_zscore","bio9mean_zscore","bio1_percent_area","bio2_percent_area","bio3_percent_area","bio4_percent_area","bio5_percent_area","bio6_percent_area","bio7_percent_area","bio8_percent_area","bio9_percent_area","bio10_percent_area","bio11_percent_area","bio12_percent_area","bio13_percent_area","bio14_percent_area","bio15_percent_area","bio16_percent_area","bio17_percent_area","bio18_percent_area","bio19_percent_area"
"1","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Mountains",108826,0,10.81,20.7,1.4161,NA,51.5,11.31,49.6,156,44.9,NA,NA,NA,NA,NA,30.7,-6.808,NA,19.757,13.83,108826,0,1.66,1.72,1.92,NA,-27.2,7.52,-32,-51.1,17.39,NA,NA,NA,NA,NA,1.74,2.33,NA,6.22,6.22,108826,0,1.56,1.52,1.75,NA,-43.9,3.677,-45.2,-51.1,9.47,NA,NA,NA,NA,NA,1.24,1.36,NA,-9.65,4.03,108826,0,1.79,1.94,2.16,NA,-19.3,15.44,-19.7,-51.1,35.11,NA,NA,NA,NA,NA,2.15,3.23,NA,10.67,9.36,108826,0,1.89,1.67,1.64,NA,-1.11,2.35,-1.75,-1.09,1.31,NA,NA,NA,NA,NA,1.21,1.89,NA,1.179,1.17,100,0,0,0,93.003,100,0,34.733,17.43,100,100,0,7.51,99,92.1,0.127,21.88,0,0
"2","Inter Mountain Basins Big Sagebrush Shrubland","Arizona/New Mexico Plateau",150072,0,11.16,21.6,1.0757,NA,40.6,10.76,44.1,102,43.6,NA,NA,NA,42.4,NA,31.6,-7.065,40.6,21.609,11.48,150072,0,1.69,1.79,1.97,NA,-23.6,7.57,-36.5,-29.1,17.15,NA,NA,NA,1.93,NA,1.88,2.42,-1.73,7.511,7.86,150072,0,1.61,1.52,1.72,NA,-52.5,1.991,-59.8,-40.1,6.28,NA,NA,NA,1.8,NA,1.41,1.33,-1.9,-10.69,4.29,150072,0,1.77,1.99,2.15,NA,-14.5,18.15,-19.9,-24.4,43.42,NA,NA,NA,2.31,NA,2.21,3.7,-1.6,12.02,10.06,150072,0,1.91,1.69,1.68,NA,-1.15,2.7,-2.1,-1.05,1.4,NA,NA,NA,1.03,NA,1.3,1.9,-1.06,1.071,1.31,100,0,0.81,0,99.543,100,0.81,31.846,14.22,100,100,0,29.35,99.2,98.1,0.477,52.07,0,0
"3","Inter Mountain Basins Big Sagebrush Shrubland","Aspen Parkland/Northern Glaciated Plains",327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327459,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Inter Mountain Basins Big Sagebrush Shrubland","Blue Mountains",70911,0,8.98,18.5,0.1153,NA,45.6,11.75,38.6,NA,50.3,NA,NA,NA,40.2,NA,30.1,-5.447,NA,11.395,16.9,70911,0,1.49,1.59,1.93,NA,-22.4,7.42,-29.5,NA,19.34,NA,NA,NA,2.77,NA,1.67,3.21,NA,4.282,1.96,70911,0,1.25,1.2,1.53,NA,-33.5,2.934,-39.7,NA,12.5,NA,NA,NA,1.88,NA,1.64,2.69,NA,-4.66,-9.64,70911,0,1.75,1.85,2.43,NA,-14.5,16.7,-19.1,NA,32.11,NA,NA,NA,3.59,NA,1.68,3.67,NA,6.1,9.16,70911,0,2.19,1.47,1.67,NA,-1.2,1.79,-1.7,NA,1.19,NA,NA,NA,1.07,NA,1.01,1.83,NA,1.004,1.011,100,0,73.34,0,0.285,100,0,1.924,5.845,100,100,0,54.17,99.6,97.7,0,3.78,0,0
"5","Inter Mountain Basins Big Sagebrush Shrubland","California Coastal Sage, Chaparral, and Oak Woodlands",123988,0,13.77,22.4,6.2716,NA,67.7,3.23,75.5,NA,19.2,NA,NA,NA,42.9,NA,NA,0.603,NA,NA,22.39,123988,0,1.55,1.48,1.61,NA,-46.1,2,-28,NA,5.92,NA,NA,NA,2.77,NA,NA,2.7,NA,NA,2.56,123988,0,1.53,1.45,1.58,NA,-46.1,1.996,-35.7,NA,5.92,NA,NA,NA,2.69,NA,NA,2.09,NA,NA,1.6,123988,0,1.59,1.53,1.66,NA,-46.1,2,-24,NA,5.92,NA,NA,NA,2.85,NA,NA,3.07,NA,NA,4.4,123988,0,2.57,1.52,1.53,NA,-1.06,2.57,-1.31,NA,1.18,NA,NA,NA,1.07,NA,NA,2.07,NA,NA,1.817,100,0,66.67,0,0,100,0,0,100,100,100,0,33.33,33.3,100,0,33.33,0,0
"6","Inter Mountain Basins Big Sagebrush Shrubland","Canadian Rockies",104960,0,5.03,15.1,-4.2782,NA,NA,26.02,38.4,NA,85.9,NA,NA,NA,NA,NA,NA,-11.097,NA,12.695,NA,104960,0,1.61,2,1.88,NA,NA,16.26,-28.8,NA,26.78,NA,NA,NA,NA,NA,NA,4,NA,4.361,NA,104960,0,1.61,2,1.88,NA,NA,16.264,-28.8,NA,26.78,NA,NA,NA,NA,NA,NA,4,NA,4.36,NA,104960,0,1.61,2,1.88,NA,NA,16.26,-28.8,NA,26.78,NA,NA,NA,NA,NA,NA,4,NA,4.36,NA,104960,0,2.13,1.84,1.45,NA,NA,3.9,-1.55,NA,1.87,NA,NA,NA,NA,NA,NA,1.56,NA,1.09,NA,100,0,0,0,0,100,0,100,0,100,100,0,0,100,100,0,100,0,0
"7","Inter Mountain Basins Big Sagebrush Shrubland","Cascades",46434,0,8.16,16.8,0.6762,NA,NA,8.19,56.3,NA,NA,NA,NA,NA,41.2,NA,27.1,-4.415,NA,-0.721,16.82,46434,0,1.55,1.56,1.7,NA,NA,3.94,-25.8,NA,NA,NA,NA,NA,3.01,NA,1.7,3.17,NA,1.68,2.26,46434,0,1.39,1.4,1.63,NA,NA,3.232,-29.1,NA,NA,NA,NA,NA,2.62,NA,1.66,2.8,NA,1.68,1.79,46434,0,1.62,1.66,1.73,NA,NA,5.35,-19.2,NA,NA,NA,NA,NA,3.56,NA,1.76,3.45,NA,1.68,2.76,46434,0,2.48,1.51,1.51,NA,NA,1.15,-1.15,NA,NA,NA,NA,NA,1.16,NA,1.03,2.39,NA,1.204,1.394,100,0,59.58,0,4.824,100,0,2.868,51.63,100,100,0,18.06,91.9,86.1,0,0,0,0
"8","Inter Mountain Basins Big Sagebrush Shrubland","Central Basin and Range",309946,0,9.38,20.1,-0.5238,NA,40,13.05,33.3,115,49.5,NA,NA,NA,39.6,NA,31.1,-7.68,37.9,8.807,12.06,309946,0,1.87,1.88,2.41,NA,-32.2,9.12,-47.8,-46.2,20.64,NA,NA,NA,2.42,NA,1.91,3.71,-2.32,0.797,8.85,309946,0,1.6,1.43,1.77,NA,-107.9,0.903,-74.5,-121.1,3.64,NA,NA,NA,1.75,NA,1.6,2.41,-2.94,-9.85,1.7,309946,0,2.11,2.11,2.89,NA,-10.5,24.77,-26.5,-26.5,46.86,NA,NA,NA,3.74,NA,2.16,4.95,-1.94,10.32,17.45,309946,0,2.4,1.52,1.78,NA,-1.3,3.94,-2.75,-1.1,1.58,NA,NA,NA,1.09,NA,1.16,2.14,-1.06,0.296,1.19,100,0,49.98,0,87.889,100,9.822,5.741,38.982,100,100,0,79.51,99.9,99.7,10.327,60.48,0,0
"9","Inter Mountain Basins Big Sagebrush Shrubland","Central California Valley",46126,0,16.69,24.7,8.8854,NA,NA,3.3,84.1,NA,NA,NA,NA,NA,NA,NA,NA,3.055,NA,NA,24.59,46126,0,1.44,1.27,1.59,NA,NA,1.36,-31.1,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,NA,2.84,46126,0,1.44,1.27,1.59,NA,NA,1.36,-31.1,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,NA,2.84,46126,0,1.44,1.27,1.59,NA,NA,1.36,-31.1,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,NA,2.84,46126,0,2.72,1.32,2.01,NA,NA,1.08,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,1.6,100,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0
"10","Inter Mountain Basins Big Sagebrush Shrubland","Central Great Plains",274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
